id_estudiante,item,formacion_previa,conocimiento,uso
1,1,SI,2,SI
1,2,SI,4,SI
1,3,SI,3,SI
1,4,SI,4,SI
1,5,NO,1,NO
1,6,SI,2,
1,7,SI,3,SI
1,8,SI,2,NO
1,9,NO,1,NO
1,10,SI,2,SI
1,11,SI,4,SI
1,12,SI,3,SI
1,13,NO,1,NO
1,14,SI,2,SI
1,15,NO,1,NO
1,16,NO,1,NO
1,17,SI,4,NO
1,18,SI,3,SI
1,19,SI,4,SI
1,20,NO,1,NO
1,21,SI,2,SI
1,22,NO,1,NO
2,1,SI,4,SI
2,2,SI,3,SI
2,3,NO,1,NO
2,4,SI,3,SI
2,5,SI,1,SI
2,6,SI,3,SI
2,7,SI,4,SI
2,8,SI,3,SI
2,9,NO,1,NO
2,10,NO,1,NO
2,11,SI,4,SI
2,12,SI,3,SI
2,13,SI,3,SI
2,14,SI,2,SI
2,15,NO,1,NO
2,16,NO,1,NO
2,17,NO,1,
2,18,SI,3,SI
2,19,SI,4,SI
2,20,NO,1,NO
2,21,NO,1,NO
2,22,SI,2,SI
3,1,SI,4,SI
3,2,SI,3,SI
3,3,SI,3,SI
3,4,NO,1,NO
3,5,NO,1,NO
3,6,NO,2,NO
3,7,SI,3,SI
3,8,SI,3,SI
3,9,SI,1,NO
3,10,SI,3,SI
3,11,SI,3,SI
3,12,SI,4,SI
3,13,SI,3,SI
3,14,NO,1,NO
3,15,NO,1,NO
3,16,NO,1,NO
3,17,NO,1,NO
3,18,SI,4,SI
3,19,SI,4,SI
3,20,NO,1,NO
3,21,NO,1,NO
3,22,NO,1,NO
4,1,SI,3,SI
4,2,SI,3,SI
4,3,NO,2,NO
4,4,NO,2,NO
4,5,NO,2,NO
4,6,SI,4,SI
4,7,,,
4,8,SI,4,SI
4,9,SI,3,SI
4,10,NO,2,NO
4,11,SI,4,SI
4,12,SI,2,NO
4,13,NO,2,NO
4,14,SI,3,SI
4,15,NO,2,NO
4,16,NO,2,NO
4,17,NO,2,
4,18,SI,4,SI
4,19,SI,4,SI
4,20,NO,2,NO
4,21,NO,2,NO
4,22,NO,3,NO
6,1,SI,3,SI
6,2,NO,1,NO
6,3,NO,1,NO
6,4,NO,1,NO
6,5,NO,1,NO
6,6,NO,1,NO
6,7,SI,2,NO
6,8,SI,2,NO
6,9,SI,2,NO
6,10,SI,2,NO
6,11,SI,2,NO
6,12,SI,2,NO
6,13,NO,1,NO
6,14,SI,2,SI
6,15,SI,3,SI
6,16,NO,1,NO
6,17,NO,1,NO
6,18,SI,3,SI
6,19,SI,2,SI
6,20,SI,2,SI
6,21,SI,2,SI
6,22,NO,1,NO
7,1,SI,3,SI
7,2,SI,4,SI
7,3,SI,1,NO
7,4,SI,2,SI
7,5,SI,2,NO
7,6,SI,2,SI
7,7,SI,3,SI
7,8,SI,3,SI
7,9,NO,1,NO
7,10,SI,2,NO
7,11,SI,2,SI
7,12,SI,3,SI
7,13,SI,2,SI
7,14,SI,2,SI
7,15,NO,1,NO
7,16,NO,1,NO
7,17,NO,1,NO
7,18,SI,2,NO
7,19,SI,2,SI
7,20,NO,1,NO
7,21,NO,1,NO
7,22,SI,2,NO
8,1,SI,3,SI
8,2,SI,4,SI
8,3,NO,1,NO
8,4,SI,2,SI
8,5,NO,1,NO
8,6,SI,2,SI
8,7,SI,3,SI
8,8,NO,2,SI
8,9,NO,1,NO
8,10,NO,2,SI
8,11,SI,3,SI
8,12,SI,3,SI
8,13,NO,1,NO
8,14,SI,2,SI
8,15,NO,1,NO
8,16,NO,1,NO
8,17,SI,2,NO
8,18,SI,4,SI
8,19,SI,3,SI
8,20,SI,2,NO
8,21,SI,2,NO
8,22,SI,2,NO
9,1,SI,2,NO
9,2,SI,2,SI
9,3,NO,1,SI
9,4,SI,2,NO
9,5,NO,1,NO
9,6,NO,1,NO
9,7,SI,3,SI
9,8,SI,3,NO
9,9,SI,2,NO
9,10,NO,1,NO
9,11,SI,4,SI
9,12,SI,2,
9,13,SI,2,SI
9,14,NO,2,NO
9,15,SI,3,NO
9,16,SI,4,NO
9,17,SI,4,NO
9,18,NO,1,NO
9,19,SI,4,SI
9,20,NO,1,NO
9,21,NO,1,NO
9,22,SI,4,NO
10,1,SI,4,SI
10,2,NO,1,NO
10,3,NO,1,NO
10,4,NO,1,NO
10,5,NO,2,NO
10,6,NO,2,NO
10,7,SI,3,SI
10,8,SI,3,SI
10,9,SI,3,SI
10,10,SI,3,SI
10,11,SI,3,SI
10,12,SI,2,NO
10,13,NO,1,NO
10,14,NO,1,SI
10,15,NO,2,NO
10,16,NO,2,NO
10,17,SI,3,NO
10,18,SI,3,NO
10,19,SI,3,SI
10,20,SI,2,NO
10,21,SI,3,NO
10,22,SI,2,SI
11,1,SI,4,SI
11,2,NO,2,NO
11,3,NO,2,NO
11,4,NO,1,
11,5,SI,3,NO
11,6,NO,1,NO
11,7,SI,3,SI
11,8,SI,3,SI
11,9,SI,3,SI
11,10,SI,5,SI
11,11,SI,3,SI
11,12,SI,4,SI
11,13,SI,4,SI
11,14,NO,2,NO
11,15,NO,1,NO
11,16,NO,1,NO
11,17,NO,2,NO
11,18,SI,4,SI
11,19,SI,4,SI
11,20,NO,3,NO
11,21,SI,3,SI
11,22,NO,1,NO
12,1,SI,5,SI
12,2,SI,5,SI
12,3,SI,3,NO
12,4,SI,3,NO
12,5,SI,3,NO
12,6,SI,5,SI
12,7,SI,4,SI
12,8,SI,4,SI
12,9,SI,4,SI
12,10,NO,1,NO
12,11,SI,3,SI
12,12,SI,4,SI
12,13,SI,2,SI
12,14,SI,2,SI
12,15,NO,1,NO
12,16,NO,1,NO
12,17,NO,1,NO
12,18,SI,3,SI
12,19,SI,,SI
12,20,NO,1,NO
12,21,NO,1,NO
12,22,NO,1,NO
13,1,SI,3,SI
13,2,SI,2,SI
13,3,SI,2,SI
13,4,SI,2,NO
13,5,SI,2,SI
13,6,SI,3,SI
13,7,SI,3,SI
13,8,SI,3,SI
13,9,SI,2,SI
13,10,SI,3,SI
13,11,SI,2,SI
13,12,SI,3,SI
13,13,SI,3,SI
13,14,SI,2,SI
13,15,NO,1,NO
13,16,NO,1,NO
13,17,SI,2,SI
13,18,SI,2,SI
13,19,SI,2,SI
13,20,NO,1,NO
13,21,SI,2,SI
13,22,SI,2,SI
14,1,SI,4,SI
14,2,SI,3,SI
14,3,SI,2,NO
14,4,NO,2,NO
14,5,SI,4,SI
14,6,SI,3,SI
14,7,SI,4,SI
14,8,SI,3,SI
14,9,SI,3,SI
14,10,SI,2,SI
14,11,SI,2,SI
14,12,SI,3,SI
14,13,NO,2,NO
14,14,NO,1,NO
14,15,NO,1,NO
14,16,NO,1,NO
14,17,NO,1,NO
14,18,SI,3,SI
14,19,SI,3,SI
14,20,NO,1,NO
14,21,NO,1,NO
14,22,SI,3,SI
15,1,SI,2,NO
15,2,NO,1,
15,3,NO,1,
15,4,NO,2,NO
15,5,NO,3,NO
15,6,NO,1,
15,7,NO,3,NO
15,8,NO,1,
15,9,NO,1,
15,10,NO,1,
15,11,NO,1,
15,12,NO,1,
15,13,SI,3,NO
15,14,SI,3,NO
15,15,NO,1,
15,16,NO,1,
15,17,NO,1,
15,18,NO,1,
15,19,SI,2,NO
15,20,NO,1,
15,21,NO,1,
15,22,NO,1,
16,1,SI,3,SI
16,2,SI,2,SI
16,3,NO,1,NO
16,4,SI,2,SI
16,5,SI,2,SI
16,6,SI,2,NO
16,7,SI,2,SI
16,8,NO,1,NO
16,9,NO,1,NO
16,10,NO,1,NO
16,11,SI,4,SI
16,12,SI,3,SI
16,13,SI,2,NO
16,14,NO,1,NO
16,15,NO,1,NO
16,16,NO,1,NO
16,17,NO,1,NO
16,18,NO,1,NO
16,19,NO,1,NO
16,20,NO,1,NO
16,21,NO,1,NO
16,22,NO,1,NO
17,1,SI,5,SI
17,2,SI,3,SI
17,3,NO,1,NO
17,4,NO,1,NO
17,5,SI,5,SI
17,6,NO,1,NO
17,7,SI,5,SI
17,8,SI,5,SI
17,9,NO,2,NO
17,10,SI,4,SI
17,11,SI,5,SI
17,12,SI,5,SI
17,13,NO,1,NO
17,14,NO,1,NO
17,15,SI,5,SI
17,16,NO,1,NO
17,17,NO,1,NO
17,18,NO,1,NO
17,19,SI,5,SI
17,20,NO,1,NO
17,21,NO,1,NO
17,22,SI,2,SI
18,1,SI,4,SI
18,2,SI,3,SI
18,3,NO,2,NO
18,4,NO,2,NO
18,5,SI,4,SI
18,6,SI,3,SI
18,7,SI,2,NO
18,8,SI,3,SI
18,9,NO,3,NO
18,10,NO,2,NO
18,11,SI,4,SI
18,12,SI,3,SI
18,13,SI,4,SI
18,14,NO,3,NO
18,15,NO,2,NO
18,16,NO,2,NO
18,17,SI,3,SI
18,18,SI,3,SI
18,19,SI,3,SI
18,20,NO,2,SI
18,21,NO,2,NO
18,22,SI,4,SI
19,1,SI,4,SI
19,2,SI,3,SI
19,3,SI,3,NO
19,4,SI,3,SI
19,5,SI,2,NO
19,6,SI,3,SI
19,7,SI,4,SI
19,8,SI,2,SI
19,9,NO,1,NO
19,10,SI,2,NO
19,11,SI,4,SI
19,12,SI,4,SI
19,13,SI,3,SI
19,14,SI,2,SI
19,15,NO,1,NO
19,16,NO,1,NO
19,17,NO,1,NO
19,18,SI,3,SI
19,19,SI,3,SI
19,20,NO,1,NO
19,21,NO,1,NO
19,22,NO,1,NO
20,1,SI,4,SI
20,2,SI,4,SI
20,3,SI,2,NO
20,4,SI,2,SI
20,5,SI,1,NO
20,6,SI,2,SI
20,7,SI,3,SI
20,8,SI,3,SI
20,9,NO,1,NO
20,10,NO,1,NO
20,11,SI,4,SI
20,12,SI,3,SI
20,13,SI,2,SI
20,14,SI,3,SI
20,15,NO,2,NO
20,16,NO,1,NO
20,17,SI,1,NO
20,18,SI,4,SI
20,19,SI,3,SI
20,20,SI,3,NO
20,21,NO,2,NO
20,22,SI,2,SI
21,1,SI,4,SI
21,2,SI,4,SI
21,3,SI,2,NO
21,4,NO,1,NO
21,5,NO,3,NO
21,6,SI,4,NO
21,7,SI,3,SI
21,8,SI,3,SI
21,9,SI,3,SI
21,10,NO,4,SI
21,11,SI,3,
21,12,SI,4,SI
21,13,SI,4,SI
21,14,NO,2,NO
21,15,NO,1,NO
21,16,NO,1,NO
21,17,NO,1,NO
21,18,SI,4,SI
21,19,SI,4,SI
21,20,NO,1,NO
21,21,NO,1,NO
21,22,NO,1,NO
22,1,SI,3,SI
22,2,SI,3,SI
22,3,NO,1,NO
22,4,SI,3,SI
22,5,SI,2,NO
22,6,SI,3,SI
22,7,SI,2,SI
22,8,SI,1,NO
22,9,SI,1,NO
22,10,SI,2,SI
22,11,SI,4,SI
22,12,SI,3,SI
22,13,SI,3,SI
22,14,SI,2,SI
22,15,NO,1,NO
22,16,NO,1,NO
22,17,NO,1,NO
22,18,SI,2,SI
22,19,SI,2,SI
22,20,NO,1,NO
22,21,NO,1,NO
22,22,SI,2,SI
23,1,NO,2,NO
23,2,NO,1,NO
23,3,NO,1,NO
23,4,NO,1,NO
23,5,SI,2,SI
23,6,NO,1,NO
23,7,SI,4,SI
23,8,SI,4,SI
23,9,SI,2,SI
