id_estudiante,item,valor
2,1,4
2,2,5
2,3,5
2,4,4
2,5,5
2,6,4
2,7,5
2,8,4
2,9,4
2,10,4
2,11,5
2,12,5
2,13,5
2,14,5
2,15,4
2,16,4
2,17,3
2,18,4
2,19,4
2,20,4
2,21,5
2,22,5
2,23,5
2,24,5
2,25,5
2,26,5
2,27,5
2,28,5
3,1,3
3,2,5
3,3,5
3,4,4
3,5,5
3,6,4
3,7,5
3,8,2
3,9,4
3,10,3
3,11,4
3,12,4
3,13,4
3,14,5
3,15,4
3,16,5
3,17,5
3,18,5
3,19,4
3,20,5
3,21,5
3,22,5
3,23,4
3,24,2
3,25,3
3,26,2
3,27,5
3,28,5
8,1,5
8,2,5
8,3,5
8,4,4
8,5,4
8,6,4
8,7,5
8,8,4
8,9,2
8,10,4
8,11,3
8,12,3
8,13,3
8,14,4
8,15,3
8,16,3
8,17,4
8,18,4
8,19,3
8,20,4
8,21,3
8,22,4
8,23,4
8,24,5
8,25,5
8,26,4
8,27,5
8,28,5
9,1,5
9,2,5
9,3,5
9,4,5
9,5,5
9,6,5
9,7,5
9,8,4
9,9,5
9,10,4
9,11,3
9,12,4
9,13,3
9,14,3
9,15,5
9,16,5
9,17,5
9,18,3
9,19,5
9,20,5
9,21,5
9,22,5
9,23,3
9,24,2
9,25,4
9,26,1
9,27,5
9,28,5
12,1,5
12,2,4
12,3,4
12,4,5
12,5,3
12,6,5
12,7,4
12,8,3
12,9,3
12,10,3
12,11,4
12,12,4
12,13,4
12,14,4
12,15,5
12,16,5
12,17,5
12,18,5
12,19,4
12,20,4
12,21,4
12,22,4
12,23,5
12,24,4
12,25,5
12,26,3
12,27,4
12,28,5
13,1,5
13,2,4
13,3,5
13,4,5
13,5,4
13,6,4
13,7,4
13,8,4
13,9,2
13,10,4
13,11,4
13,12,3
13,13,3
13,14,4
13,15,3
13,16,3
13,17,4
13,18,3
13,19,3
13,20,3
13,21,4
13,22,4
13,23,4
13,24,1
13,25,3
13,26,2
13,27,4
13,28,4
14,1,5
14,2,4
14,3,5
14,4,5
14,5,5
14,6,4
14,7,5
14,8,4
14,9,3
14,10,4
14,11,3
14,12,3
14,13,4
14,14,5
14,15,4
14,16,5
14,17,4
14,18,4
14,19,4
14,20,5
14,21,3
14,22,4
14,23,5
14,24,5
14,25,5
14,26,5
14,27,4
14,28,5
16,1,4
16,2,5
16,3,4
16,4,5
16,5,4
16,6,5
16,7,3
16,8,3
16,9,3
16,10,5
16,11,4
16,12,1
16,13,4
16,14,5
16,15,3
16,16,3
16,17,4
16,18,4
16,19,2
16,20,3
16,21,5
16,22,4
16,23,3
16,24,2
16,25,3
16,26,1
16,27,3
16,28,5
19,1,4
19,2,5
19,3,4
19,4,5
19,5,5
19,6,4
19,7,5
19,8,4
19,9,3
19,10,5
19,11,4
19,12,4
19,13,4
19,14,4
19,15,4
19,16,4
19,17,4
19,18,5
19,19,5
19,20,3
19,21,4
19,22,5
19,23,4
19,24,3
19,25,4
19,26,2
19,27,5
19,28,4
24,1,4
24,2,4
24,3,5
24,4,5
24,5,4
24,6,5
24,7,4
24,8,4
24,9,3
24,10,5
24,11,4
24,12,5
24,13,5
24,14,4
24,15,3
24,16,5
24,17,4
24,18,5
24,19,4
24,20,4
24,21,3
24,22,4
24,23,4
24,24,4
24,25,5
24,26,5
24,27,2
24,28,4
26,1,5
26,2,5
26,3,5
26,4,4
26,5,4
26,6,3
26,7,5
26,8,4
26,9,4
26,10,2
26,11,4
26,12,2
26,13,3
26,14,4
26,15,4
26,16,4
26,17,3
26,18,3
26,19,3
26,20,2
26,21,4
26,22,5
26,23,5
26,24,3
26,25,3
26,26,5
26,27,5
26,28,5
27,1,4
27,2,4
27,3,4
27,4,5
27,5,4
27,6,4
27,7,5
27,8,4
27,9,2
27,10,5
27,11,5
27,12,5
27,13,5
27,14,5
27,15,3
27,16,5
27,17,5
27,18,5
27,19,5
27,20,5
27,21,5
27,22,4
27,23,2
27,24,2
27,25,3
27,26,3
27,27,4
27,28,5
28,1,5
28,2,5
28,3,4
28,4,3
28,5,4
28,6,5
28,7,5
28,8,2
28,9,4
28,10,3
28,11,4
28,12,2
28,13,4
28,14,5
28,15,3
28,16,5
28,17,3
28,18,2
28,19,3
28,20,5
28,21,5
28,22,5
28,23,4
28,24,5
28,25,3
28,26,3
28,27,5
28,28,3
29,1,5
29,2,5
29,3,5
29,4,4
29,5,4
29,6,4
29,7,3
29,8,3
29,9,4
29,10,4
29,11,5
29,12,5
29,13,5
29,14,4
29,15,5
29,16,4
29,17,4
29,18,2
29,19,5
29,20,4
29,21,5
29,22,5
29,23,5
29,24,4
29,25,5
29,26,5
29,27,5
29,28,5
